Destination,Package_Title,Image_URL,Trip_Description,Itinerary_Plan,Highlights,Package_Price,User_Rating
Udaipur,Cultural Trip to Udaipur,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,City of Lakes known for royal architecture and scenic beauty.,Day 1: City Palace | Day 2: Lake Pichola | Day 3: Jag Mandir | Day 4: Shopping,"Lakes, Palaces, Cultural Heritage",27087,4.8
Kerala,Nature Trip to Kerala,https://images.unsplash.com/photo-1560347876-aeef00ee58a1,"Houseboats, backwaters, and spice plantations in God’s Own Country.",Day 1: Arrival | Day 2: Alleppey Backwaters | Day 3: Munnar Hills | Day 4: Departure,"Backwaters, Houseboat, Tea Gardens",28976,4.2
Rishikesh,Adventure Trip to Rishikesh,https://images.unsplash.com/photo-1578321272234-3c6bdb8acaae,Yoga capital of the world with adventure and serenity combined.,Day 1: Arrival | Day 2: River Rafting | Day 3: Laxman Jhula | Day 4: Meditation,"River Rafting, Yoga, Ganga Aarti",17032,3.8
Kerala,Nature Trip to Kerala,https://images.unsplash.com/photo-1560347876-aeef00ee58a1,"Houseboats, backwaters, and spice plantations in God’s Own Country.",Day 1: Arrival | Day 2: Alleppey Backwaters | Day 3: Munnar Hills | Day 4: Departure,"Backwaters, Houseboat, Tea Gardens",49455,3.8
Varanasi,Spiritual Trip to Varanasi,https://images.unsplash.com/photo-1608222351217-173d809be8c2,The spiritual heart of India on the banks of the Ganges.,Day 1: Evening Aarti | Day 2: Temple Visit | Day 3: Boat Ride | Day 4: Local Walks,"Ganga Aarti, Temples, Spiritual Walks",43923,3.2
Goa,Beach Trip to Goa,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,"Experience golden beaches, nightlife, and coastal culture in Goa.",Day 1: Arrival & Relaxation | Day 2: North Goa Beaches | Day 3: South Goa Sightseeing | Day 4: Leisure & Departure,"Beaches, Water Sports, Fort Aguada, Nightlife",35436,4.4
Jaipur,Cultural Trip to Jaipur,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,"Explore palaces, forts, and vibrant bazaars in the Pink City.",Day 1: City Palace & Jantar Mantar | Day 2: Amer Fort | Day 3: Shopping | Day 4: Local Cuisine,"Forts, Heritage, Local Food",60721,4.3
Udaipur,Cultural Trip to Udaipur,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,City of Lakes known for royal architecture and scenic beauty.,Day 1: City Palace | Day 2: Lake Pichola | Day 3: Jag Mandir | Day 4: Shopping,"Lakes, Palaces, Cultural Heritage",8485,4.3
Rishikesh,Adventure Trip to Rishikesh,https://images.unsplash.com/photo-1578321272234-3c6bdb8acaae,Yoga capital of the world with adventure and serenity combined.,Day 1: Arrival | Day 2: River Rafting | Day 3: Laxman Jhula | Day 4: Meditation,"River Rafting, Yoga, Ganga Aarti",40850,3.5
Rishikesh,Adventure Trip to Rishikesh,https://images.unsplash.com/photo-1578321272234-3c6bdb8acaae,Yoga capital of the world with adventure and serenity combined.,Day 1: Arrival | Day 2: River Rafting | Day 3: Laxman Jhula | Day 4: Meditation,"River Rafting, Yoga, Ganga Aarti",28096,4.8
Manali,Hill Trip to Manali,https://images.unsplash.com/photo-1603782921195-6f3e2d80c66e,"Snow-capped peaks, pine forests, and river valleys await in Manali.",Day 1: Arrival | Day 2: Solang Valley | Day 3: Rohtang Pass | Day 4: Local Markets,"Snow Trek, Solang Valley, Adventure Sports",26767,3.1
Shimla,Hill Trip to Shimla,https://images.unsplash.com/photo-1610986604229-1a0f8d6e9c8b,Charming colonial hill station with scenic mountain views.,Day 1: Mall Road | Day 2: Kufri | Day 3: Ridge Walk | Day 4: Departure,"Mall Road, Toy Train, Hill Views",20948,4.2
Kerala,Nature Trip to Kerala,https://images.unsplash.com/photo-1560347876-aeef00ee58a1,"Houseboats, backwaters, and spice plantations in God’s Own Country.",Day 1: Arrival | Day 2: Alleppey Backwaters | Day 3: Munnar Hills | Day 4: Departure,"Backwaters, Houseboat, Tea Gardens",44244,3.7
Jaipur,Cultural Trip to Jaipur,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,"Explore palaces, forts, and vibrant bazaars in the Pink City.",Day 1: City Palace & Jantar Mantar | Day 2: Amer Fort | Day 3: Shopping | Day 4: Local Cuisine,"Forts, Heritage, Local Food",26960,3.3
Manali,Hill Trip to Manali,https://images.unsplash.com/photo-1603782921195-6f3e2d80c66e,"Snow-capped peaks, pine forests, and river valleys await in Manali.",Day 1: Arrival | Day 2: Solang Valley | Day 3: Rohtang Pass | Day 4: Local Markets,"Snow Trek, Solang Valley, Adventure Sports",21602,5.0
Udaipur,Cultural Trip to Udaipur,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,City of Lakes known for royal architecture and scenic beauty.,Day 1: City Palace | Day 2: Lake Pichola | Day 3: Jag Mandir | Day 4: Shopping,"Lakes, Palaces, Cultural Heritage",22622,4.8
Goa,Beach Trip to Goa,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,"Experience golden beaches, nightlife, and coastal culture in Goa.",Day 1: Arrival & Relaxation | Day 2: North Goa Beaches | Day 3: South Goa Sightseeing | Day 4: Leisure & Departure,"Beaches, Water Sports, Fort Aguada, Nightlife",21978,3.0
Andaman,Beach Trip to Andaman,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,Tropical paradise with turquoise waters and coral reefs.,Day 1: Port Blair | Day 2: Havelock Island | Day 3: Radhanagar Beach | Day 4: Return,"Scuba Diving, Coral Reefs, Beaches",24348,4.2
Andaman,Beach Trip to Andaman,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,Tropical paradise with turquoise waters and coral reefs.,Day 1: Port Blair | Day 2: Havelock Island | Day 3: Radhanagar Beach | Day 4: Return,"Scuba Diving, Coral Reefs, Beaches",53821,4.3
Shimla,Hill Trip to Shimla,https://images.unsplash.com/photo-1610986604229-1a0f8d6e9c8b,Charming colonial hill station with scenic mountain views.,Day 1: Mall Road | Day 2: Kufri | Day 3: Ridge Walk | Day 4: Departure,"Mall Road, Toy Train, Hill Views",8824,3.6
Manali,Hill Trip to Manali,https://images.unsplash.com/photo-1603782921195-6f3e2d80c66e,"Snow-capped peaks, pine forests, and river valleys await in Manali.",Day 1: Arrival | Day 2: Solang Valley | Day 3: Rohtang Pass | Day 4: Local Markets,"Snow Trek, Solang Valley, Adventure Sports",6077,3.3
Shimla,Hill Trip to Shimla,https://images.unsplash.com/photo-1610986604229-1a0f8d6e9c8b,Charming colonial hill station with scenic mountain views.,Day 1: Mall Road | Day 2: Kufri | Day 3: Ridge Walk | Day 4: Departure,"Mall Road, Toy Train, Hill Views",56098,4.8
Shimla,Hill Trip to Shimla,https://images.unsplash.com/photo-1610986604229-1a0f8d6e9c8b,Charming colonial hill station with scenic mountain views.,Day 1: Mall Road | Day 2: Kufri | Day 3: Ridge Walk | Day 4: Departure,"Mall Road, Toy Train, Hill Views",24092,4.4
Shimla,Hill Trip to Shimla,https://images.unsplash.com/photo-1610986604229-1a0f8d6e9c8b,Charming colonial hill station with scenic mountain views.,Day 1: Mall Road | Day 2: Kufri | Day 3: Ridge Walk | Day 4: Departure,"Mall Road, Toy Train, Hill Views",29577,3.7
Goa,Beach Trip to Goa,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,"Experience golden beaches, nightlife, and coastal culture in Goa.",Day 1: Arrival & Relaxation | Day 2: North Goa Beaches | Day 3: South Goa Sightseeing | Day 4: Leisure & Departure,"Beaches, Water Sports, Fort Aguada, Nightlife",13495,4.0
Kerala,Nature Trip to Kerala,https://images.unsplash.com/photo-1560347876-aeef00ee58a1,"Houseboats, backwaters, and spice plantations in God’s Own Country.",Day 1: Arrival | Day 2: Alleppey Backwaters | Day 3: Munnar Hills | Day 4: Departure,"Backwaters, Houseboat, Tea Gardens",72050,3.9
Kerala,Nature Trip to Kerala,https://images.unsplash.com/photo-1560347876-aeef00ee58a1,"Houseboats, backwaters, and spice plantations in God’s Own Country.",Day 1: Arrival | Day 2: Alleppey Backwaters | Day 3: Munnar Hills | Day 4: Departure,"Backwaters, Houseboat, Tea Gardens",54638,4.5
Udaipur,Cultural Trip to Udaipur,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,City of Lakes known for royal architecture and scenic beauty.,Day 1: City Palace | Day 2: Lake Pichola | Day 3: Jag Mandir | Day 4: Shopping,"Lakes, Palaces, Cultural Heritage",15329,3.7
Rishikesh,Adventure Trip to Rishikesh,https://images.unsplash.com/photo-1578321272234-3c6bdb8acaae,Yoga capital of the world with adventure and serenity combined.,Day 1: Arrival | Day 2: River Rafting | Day 3: Laxman Jhula | Day 4: Meditation,"River Rafting, Yoga, Ganga Aarti",32150,4.1
Andaman,Beach Trip to Andaman,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,Tropical paradise with turquoise waters and coral reefs.,Day 1: Port Blair | Day 2: Havelock Island | Day 3: Radhanagar Beach | Day 4: Return,"Scuba Diving, Coral Reefs, Beaches",30657,4.7
Kerala,Nature Trip to Kerala,https://images.unsplash.com/photo-1560347876-aeef00ee58a1,"Houseboats, backwaters, and spice plantations in God’s Own Country.",Day 1: Arrival | Day 2: Alleppey Backwaters | Day 3: Munnar Hills | Day 4: Departure,"Backwaters, Houseboat, Tea Gardens",24839,4.6
Kerala,Nature Trip to Kerala,https://images.unsplash.com/photo-1560347876-aeef00ee58a1,"Houseboats, backwaters, and spice plantations in God’s Own Country.",Day 1: Arrival | Day 2: Alleppey Backwaters | Day 3: Munnar Hills | Day 4: Departure,"Backwaters, Houseboat, Tea Gardens",13381,3.2
Varanasi,Spiritual Trip to Varanasi,https://images.unsplash.com/photo-1608222351217-173d809be8c2,The spiritual heart of India on the banks of the Ganges.,Day 1: Evening Aarti | Day 2: Temple Visit | Day 3: Boat Ride | Day 4: Local Walks,"Ganga Aarti, Temples, Spiritual Walks",67308,3.0
Andaman,Beach Trip to Andaman,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,Tropical paradise with turquoise waters and coral reefs.,Day 1: Port Blair | Day 2: Havelock Island | Day 3: Radhanagar Beach | Day 4: Return,"Scuba Diving, Coral Reefs, Beaches",33920,4.2
Ladakh,Adventure Trip to Ladakh,https://images.unsplash.com/photo-1518684079-3c830dcef090,A high-altitude desert with stunning monasteries and scenic roads.,Day 1: Arrival | Day 2: Nubra Valley | Day 3: Pangong Lake | Day 4: Leh Sightseeing,"Pangong Lake, Monasteries, Biking",35300,3.3
Varanasi,Spiritual Trip to Varanasi,https://images.unsplash.com/photo-1608222351217-173d809be8c2,The spiritual heart of India on the banks of the Ganges.,Day 1: Evening Aarti | Day 2: Temple Visit | Day 3: Boat Ride | Day 4: Local Walks,"Ganga Aarti, Temples, Spiritual Walks",35390,4.4
Kerala,Nature Trip to Kerala,https://images.unsplash.com/photo-1560347876-aeef00ee58a1,"Houseboats, backwaters, and spice plantations in God’s Own Country.",Day 1: Arrival | Day 2: Alleppey Backwaters | Day 3: Munnar Hills | Day 4: Departure,"Backwaters, Houseboat, Tea Gardens",40182,4.4
Andaman,Beach Trip to Andaman,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,Tropical paradise with turquoise waters and coral reefs.,Day 1: Port Blair | Day 2: Havelock Island | Day 3: Radhanagar Beach | Day 4: Return,"Scuba Diving, Coral Reefs, Beaches",7274,4.4
Jaipur,Cultural Trip to Jaipur,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,"Explore palaces, forts, and vibrant bazaars in the Pink City.",Day 1: City Palace & Jantar Mantar | Day 2: Amer Fort | Day 3: Shopping | Day 4: Local Cuisine,"Forts, Heritage, Local Food",48602,4.4
Goa,Beach Trip to Goa,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,"Experience golden beaches, nightlife, and coastal culture in Goa.",Day 1: Arrival & Relaxation | Day 2: North Goa Beaches | Day 3: South Goa Sightseeing | Day 4: Leisure & Departure,"Beaches, Water Sports, Fort Aguada, Nightlife",26168,3.2
Rishikesh,Adventure Trip to Rishikesh,https://images.unsplash.com/photo-1578321272234-3c6bdb8acaae,Yoga capital of the world with adventure and serenity combined.,Day 1: Arrival | Day 2: River Rafting | Day 3: Laxman Jhula | Day 4: Meditation,"River Rafting, Yoga, Ganga Aarti",75411,5.0
Manali,Hill Trip to Manali,https://images.unsplash.com/photo-1603782921195-6f3e2d80c66e,"Snow-capped peaks, pine forests, and river valleys await in Manali.",Day 1: Arrival | Day 2: Solang Valley | Day 3: Rohtang Pass | Day 4: Local Markets,"Snow Trek, Solang Valley, Adventure Sports",45611,3.5
Udaipur,Cultural Trip to Udaipur,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,City of Lakes known for royal architecture and scenic beauty.,Day 1: City Palace | Day 2: Lake Pichola | Day 3: Jag Mandir | Day 4: Shopping,"Lakes, Palaces, Cultural Heritage",42270,4.6
Jaipur,Cultural Trip to Jaipur,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,"Explore palaces, forts, and vibrant bazaars in the Pink City.",Day 1: City Palace & Jantar Mantar | Day 2: Amer Fort | Day 3: Shopping | Day 4: Local Cuisine,"Forts, Heritage, Local Food",20597,4.8
Udaipur,Cultural Trip to Udaipur,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,City of Lakes known for royal architecture and scenic beauty.,Day 1: City Palace | Day 2: Lake Pichola | Day 3: Jag Mandir | Day 4: Shopping,"Lakes, Palaces, Cultural Heritage",13896,5.0
Varanasi,Spiritual Trip to Varanasi,https://images.unsplash.com/photo-1608222351217-173d809be8c2,The spiritual heart of India on the banks of the Ganges.,Day 1: Evening Aarti | Day 2: Temple Visit | Day 3: Boat Ride | Day 4: Local Walks,"Ganga Aarti, Temples, Spiritual Walks",45902,3.2
Kerala,Nature Trip to Kerala,https://images.unsplash.com/photo-1560347876-aeef00ee58a1,"Houseboats, backwaters, and spice plantations in God’s Own Country.",Day 1: Arrival | Day 2: Alleppey Backwaters | Day 3: Munnar Hills | Day 4: Departure,"Backwaters, Houseboat, Tea Gardens",45150,4.9
Goa,Beach Trip to Goa,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,"Experience golden beaches, nightlife, and coastal culture in Goa.",Day 1: Arrival & Relaxation | Day 2: North Goa Beaches | Day 3: South Goa Sightseeing | Day 4: Leisure & Departure,"Beaches, Water Sports, Fort Aguada, Nightlife",26820,3.2
Shimla,Hill Trip to Shimla,https://images.unsplash.com/photo-1610986604229-1a0f8d6e9c8b,Charming colonial hill station with scenic mountain views.,Day 1: Mall Road | Day 2: Kufri | Day 3: Ridge Walk | Day 4: Departure,"Mall Road, Toy Train, Hill Views",10331,4.1
Kerala,Nature Trip to Kerala,https://images.unsplash.com/photo-1560347876-aeef00ee58a1,"Houseboats, backwaters, and spice plantations in God’s Own Country.",Day 1: Arrival | Day 2: Alleppey Backwaters | Day 3: Munnar Hills | Day 4: Departure,"Backwaters, Houseboat, Tea Gardens",31911,3.2
Shimla,Hill Trip to Shimla,https://images.unsplash.com/photo-1610986604229-1a0f8d6e9c8b,Charming colonial hill station with scenic mountain views.,Day 1: Mall Road | Day 2: Kufri | Day 3: Ridge Walk | Day 4: Departure,"Mall Road, Toy Train, Hill Views",23960,4.1
Kerala,Nature Trip to Kerala,https://images.unsplash.com/photo-1560347876-aeef00ee58a1,"Houseboats, backwaters, and spice plantations in God’s Own Country.",Day 1: Arrival | Day 2: Alleppey Backwaters | Day 3: Munnar Hills | Day 4: Departure,"Backwaters, Houseboat, Tea Gardens",24182,4.2
Ladakh,Adventure Trip to Ladakh,https://images.unsplash.com/photo-1518684079-3c830dcef090,A high-altitude desert with stunning monasteries and scenic roads.,Day 1: Arrival | Day 2: Nubra Valley | Day 3: Pangong Lake | Day 4: Leh Sightseeing,"Pangong Lake, Monasteries, Biking",21612,4.3
Kerala,Nature Trip to Kerala,https://images.unsplash.com/photo-1560347876-aeef00ee58a1,"Houseboats, backwaters, and spice plantations in God’s Own Country.",Day 1: Arrival | Day 2: Alleppey Backwaters | Day 3: Munnar Hills | Day 4: Departure,"Backwaters, Houseboat, Tea Gardens",21594,4.1
Ladakh,Adventure Trip to Ladakh,https://images.unsplash.com/photo-1518684079-3c830dcef090,A high-altitude desert with stunning monasteries and scenic roads.,Day 1: Arrival | Day 2: Nubra Valley | Day 3: Pangong Lake | Day 4: Leh Sightseeing,"Pangong Lake, Monasteries, Biking",17077,4.7
Rishikesh,Adventure Trip to Rishikesh,https://images.unsplash.com/photo-1578321272234-3c6bdb8acaae,Yoga capital of the world with adventure and serenity combined.,Day 1: Arrival | Day 2: River Rafting | Day 3: Laxman Jhula | Day 4: Meditation,"River Rafting, Yoga, Ganga Aarti",40334,3.1
Varanasi,Spiritual Trip to Varanasi,https://images.unsplash.com/photo-1608222351217-173d809be8c2,The spiritual heart of India on the banks of the Ganges.,Day 1: Evening Aarti | Day 2: Temple Visit | Day 3: Boat Ride | Day 4: Local Walks,"Ganga Aarti, Temples, Spiritual Walks",55977,4.2
Manali,Hill Trip to Manali,https://images.unsplash.com/photo-1603782921195-6f3e2d80c66e,"Snow-capped peaks, pine forests, and river valleys await in Manali.",Day 1: Arrival | Day 2: Solang Valley | Day 3: Rohtang Pass | Day 4: Local Markets,"Snow Trek, Solang Valley, Adventure Sports",71792,4.8
Jaipur,Cultural Trip to Jaipur,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,"Explore palaces, forts, and vibrant bazaars in the Pink City.",Day 1: City Palace & Jantar Mantar | Day 2: Amer Fort | Day 3: Shopping | Day 4: Local Cuisine,"Forts, Heritage, Local Food",37344,3.0
Goa,Beach Trip to Goa,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,"Experience golden beaches, nightlife, and coastal culture in Goa.",Day 1: Arrival & Relaxation | Day 2: North Goa Beaches | Day 3: South Goa Sightseeing | Day 4: Leisure & Departure,"Beaches, Water Sports, Fort Aguada, Nightlife",17396,5.0
Ladakh,Adventure Trip to Ladakh,https://images.unsplash.com/photo-1518684079-3c830dcef090,A high-altitude desert with stunning monasteries and scenic roads.,Day 1: Arrival | Day 2: Nubra Valley | Day 3: Pangong Lake | Day 4: Leh Sightseeing,"Pangong Lake, Monasteries, Biking",22061,3.7
Kerala,Nature Trip to Kerala,https://images.unsplash.com/photo-1560347876-aeef00ee58a1,"Houseboats, backwaters, and spice plantations in God’s Own Country.",Day 1: Arrival | Day 2: Alleppey Backwaters | Day 3: Munnar Hills | Day 4: Departure,"Backwaters, Houseboat, Tea Gardens",20291,3.8
Shimla,Hill Trip to Shimla,https://images.unsplash.com/photo-1610986604229-1a0f8d6e9c8b,Charming colonial hill station with scenic mountain views.,Day 1: Mall Road | Day 2: Kufri | Day 3: Ridge Walk | Day 4: Departure,"Mall Road, Toy Train, Hill Views",38056,4.9
Goa,Beach Trip to Goa,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,"Experience golden beaches, nightlife, and coastal culture in Goa.",Day 1: Arrival & Relaxation | Day 2: North Goa Beaches | Day 3: South Goa Sightseeing | Day 4: Leisure & Departure,"Beaches, Water Sports, Fort Aguada, Nightlife",47001,3.9
Udaipur,Cultural Trip to Udaipur,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,City of Lakes known for royal architecture and scenic beauty.,Day 1: City Palace | Day 2: Lake Pichola | Day 3: Jag Mandir | Day 4: Shopping,"Lakes, Palaces, Cultural Heritage",25765,4.8
Udaipur,Cultural Trip to Udaipur,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,City of Lakes known for royal architecture and scenic beauty.,Day 1: City Palace | Day 2: Lake Pichola | Day 3: Jag Mandir | Day 4: Shopping,"Lakes, Palaces, Cultural Heritage",36915,4.1
Rishikesh,Adventure Trip to Rishikesh,https://images.unsplash.com/photo-1578321272234-3c6bdb8acaae,Yoga capital of the world with adventure and serenity combined.,Day 1: Arrival | Day 2: River Rafting | Day 3: Laxman Jhula | Day 4: Meditation,"River Rafting, Yoga, Ganga Aarti",35271,3.5
Jaipur,Cultural Trip to Jaipur,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,"Explore palaces, forts, and vibrant bazaars in the Pink City.",Day 1: City Palace & Jantar Mantar | Day 2: Amer Fort | Day 3: Shopping | Day 4: Local Cuisine,"Forts, Heritage, Local Food",42217,4.7
Jaipur,Cultural Trip to Jaipur,https://images.unsplash.com/photo-1603262110263-fb0112e7cc33,"Explore palaces, forts, and vibrant bazaars in the Pink City.",Day 1: City Palace & Jantar Mantar | Day 2: Amer Fort | Day 3: Shopping | Day 4: Local Cuisine,"Forts, Heritage, Local Food",38521,4.5
Goa,Beach Trip to Goa,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,"Experience golden beaches, nightlife, and coastal culture in Goa.",Day 1: Arrival & Relaxation | Day 2: North Goa Beaches | Day 3: South Goa Sightseeing | Day 4: Leisure & Departure,"Beaches, Water Sports, Fort Aguada, Nightlife",33233,4.4
Rishikesh,Adventure Trip to Rishikesh,https://images.unsplash.com/photo-1578321272234-3c6bdb8acaae,Yoga capital of the world with adventure and serenity combined.,Day 1: Arrival | Day 2: River Rafting | Day 3: Laxman Jhula | Day 4: Meditation,"River Rafting, Yoga, Ganga Aarti",22168,3.7
Varanasi,Spiritual Trip to Varanasi,https://images.unsplash.com/photo-1608222351217-173d809be8c2,The spiritual heart of India on the banks of the Ganges.,Day 1: Evening Aarti | Day 2: Temple Visit | Day 3: Boat Ride | Day 4: Local Walks,"Ganga Aarti, Temples, Spiritual Walks",70782,3.6
Kerala,Nature Trip to Kerala,https://images.unsplash.com/photo-1560347876-aeef00ee58a1,"Houseboats, backwaters, and spice plantations in God’s Own Country.",Day 1: Arrival | Day 2: Alleppey Backwaters | Day 3: Munnar Hills | Day 4: Departure,"Backwaters, Houseboat, Tea Gardens",55803,4.9
Goa,Beach Trip to Goa,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,"Experience golden beaches, nightlife, and coastal culture in Goa.",Day 1: Arrival & Relaxation | Day 2: North Goa Beaches | Day 3: South Goa Sightseeing | Day 4: Leisure & Departure,"Beaches, Water Sports, Fort Aguada, Nightlife",15183,3.4
Shimla,Hill Trip to Shimla,https://images.unsplash.com/photo-1610986604229-1a0f8d6e9c8b,Charming colonial hill station with scenic mountain views.,Day 1: Mall Road | Day 2: Kufri | Day 3: Ridge Walk | Day 4: Departure,"Mall Road, Toy Train, Hill Views",42585,4.9
Shimla,Hill Trip to Shimla,https://images.unsplash.com/photo-1610986604229-1a0f8d6e9c8b,Charming colonial hill station with scenic mountain views.,Day 1: Mall Road | Day 2: Kufri | Day 3: Ridge Walk | Day 4: Departure,"Mall Road, Toy Train, Hill Views",51928,4.9
