Trip_ID,Source,Destination,Destination_Type,Season,Cost,Package_Price,User_Budget,User_Rating,Package_Type,Package_Category,Accomidation_type,Transport_type,Package_Title,Trip_Description,Itinerary_Plan,Highlights,Image_URL,Duration_Days
T0011,hyderabad,Hampi,Cultural,All Season,5500,5100,10500,4.3,Budget,Cultural,Standard Hotel,Car/Coach,Royal Journey of Hampi,"Experience the best of Hampi on this 3 Days / 2 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 3 days.","Day 1: Arrival at Hampi, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Hampi (short trek/boat/temple visit).",Hampi City Palace; Hampi Heritage Walk; Local markets; Traditional performance; Museum visit,https://images.travelandleisureasia.com/wp-content/uploads/sites/2/2025/02/12133950/Hampi-places-to-visit-FI-1600x900.jpg,3
T0012,hyderabad,Hampi,Cultural,All Season,9000,8250,13000,4.8,Family,Cultural,Standard Hotel,Car/Coach,Jewel of Hampi - Cultural Highlights - Deluxe,"Experience the best of Hampi on this 4 Days / 3 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 4 days.","Day 1: Arrival at Hampi, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Hampi (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration.",Hampi City Palace; Hampi Heritage Walk; Local markets; Traditional performance; Museum visit,https://thefederal.com/file/2022/09/Hampi.jpg,4
T0013,hyderabad,Hampi,Cultural,All Season,12300,10500,15500,4.4,Luxury,Cultural,Standard Hotel,Car/Coach,Weekend Escape to Hampi - Family Special,"Experience the best of Hampi on this 5 Days / 4 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 5 days.","Day 1: Arrival at Hampi, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Hampi (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration. | Day 5: Wrap-up sightseeing and prepare for departure.",Hampi City Palace; Hampi Heritage Walk; Local markets; Traditional performance; Museum visit,https://www.holidaymonk.com/wp-content/uploads/2024/07/Interesting-things-to-do-in-Hampi.webp,5
T0014,hyderabad,Hampi,Cultural,All Season,11100,9550,12000,4.2,Couple,Cultural,Standard Hotel,Car/Coach,Hampi Heritage & Culture Trail - Budget Friendly,"Experience the best of Hampi on this 6 Days / 5 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 6 days.","Day 1: Arrival at Hampi, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Hampi (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration. | Day 5: Wrap-up sightseeing and prepare for departure. | Day 6+: Additional relaxed exploration, optional excursions and departure formalities.",Hampi City Palace; Hampi Heritage Walk; Local markets; Traditional performance; Museum visit,https://xploretheearth.com/wp-content/uploads/2020/03/Hampi-Vithalla-Temple-1-scaled-e1583334468938-1024x606.jpg,6
T0015,hyderabad,Hampi,Cultural,All Season,13700,13000,14000,4.7,Group,Cultural,Standard Hotel,Car/Coach,Hampi Explorer Package,"Experience the best of Hampi on this 7 Days / 6 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 7 days.","Day 1: Arrival at Hampi, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Hampi (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration. | Day 5: Wrap-up sightseeing and prepare for departure. | Day 6+: Additional relaxed exploration, optional excursions and departure formalities.",Hampi City Palace; Hampi Heritage Walk; Local markets; Traditional performance; Museum visit,https://stampedmoments.com/wp-content/uploads/2023/05/virupaksha-temple.jpg,7
T0016,Bangalore,Khajuraho,Cultural,All Season,7000,6050,9000,4.6,Budget,Cultural,Standard Hotel,Car/Coach,Royal Journey of Khajuraho,"Experience the best of Khajuraho on this 3 Days / 2 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 3 days.","Day 1: Arrival at Khajuraho, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Khajuraho (short trek/boat/temple visit).",Khajuraho City Palace; Khajuraho Heritage Walk; Local markets; Traditional performance; Museum visit,https://kevinstandagephotography.wordpress.com/wp-content/uploads/2018/04/ksp_4720.jpg?w=890,3
T0017,Bangalore,Khajuraho,Cultural,All Season,9800,8800,10000,4.5,Family,Cultural,Standard Hotel,Car/Coach,Jewel of Khajuraho - Cultural Highlights - Deluxe,"Experience the best of Khajuraho on this 4 Days / 3 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 4 days.","Day 1: Arrival at Khajuraho, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Khajuraho (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration.",Khajuraho City Palace; Khajuraho Heritage Walk; Local markets; Traditional performance; Museum visit,https://kevinstandagephotography.wordpress.com/wp-content/uploads/2018/04/introduction-and-guide-to-khajuraho-temples.jpg?w=1200&h=600&crop=1,4
T0018,Bangalore,Khajuraho,Cultural,All Season,9900,8800,11500,4.3,Luxury,Cultural,Standard Hotel,Car/Coach,Weekend Escape to Khajuraho - Family Special,"Experience the best of Khajuraho on this 5 Days / 4 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 5 days.","Day 1: Arrival at Khajuraho, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Khajuraho (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration. | Day 5: Wrap-up sightseeing and prepare for departure.",Khajuraho City Palace; Khajuraho Heritage Walk; Local markets; Traditional performance; Museum visit,https://media.assettype.com/outlooktraveller%2F2024-09-28%2Ff6onhspi%2Fshutterstock2152949513.jpg?w=1200&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&enlarge=true&overlay=false&overlay_position=bottom&overlay_width=100,5
T0019,Bangalore,Khajuraho,Cultural,All Season,12800,10900,13500,4,Couple,Cultural,Standard Hotel,Car/Coach,Khajuraho Heritage & Culture Trail - Budget Friendly,"Experience the best of Khajuraho on this 6 Days / 5 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 6 days.","Day 1: Arrival at Khajuraho, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Khajuraho (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration. | Day 5: Wrap-up sightseeing and prepare for departure. | Day 6+: Additional relaxed exploration, optional excursions and departure formalities.",Khajuraho City Palace; Khajuraho Heritage Walk; Local markets; Traditional performance; Museum visit,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTiIkI3MIfmvmWSPqW2yK4ZXa2se2OVoLZmEA&s,6
T0020,Bangalore,Khajuraho,Cultural,All Season,15800,14000,18000,4.7,Group,Cultural,Standard Hotel,Car/Coach,Khajuraho Explorer Package,"Experience the best of Khajuraho on this 7 Days / 6 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 7 days.","Day 1: Arrival at Khajuraho, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Khajuraho (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration. | Day 5: Wrap-up sightseeing and prepare for departure. | Day 6+: Additional relaxed exploration, optional excursions and departure formalities.",Khajuraho City Palace; Khajuraho Heritage Walk; Local markets; Traditional performance; Museum visit,https://media.moustachescapes.com/location/1740561307.jpg,7
T0021,Vizag,Mysore,Cultural,All Season,7000,6050,8000,4.2,Budget,Cultural,Standard Hotel,Car/Coach,Royal Journey of Mysore,"Experience the best of Mysore on this 3 Days / 2 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 3 days.","Day 1: Arrival at Mysore, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Mysore (short trek/boat/temple visit).",Mysore City Palace; Mysore Heritage Walk; Local markets; Traditional performance; Museum visit,https://www.holidaymonk.com/wp-content/uploads/2022/05/Mysore-Palace.webp,3
T0022,Vizag,Mysore,Cultural,All Season,8400,7850,9000,4.4,Family,Cultural,Standard Hotel,Car/Coach,Jewel of Mysore - Cultural Highlights - Deluxe,"Experience the best of Mysore on this 4 Days / 3 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 4 days.","Day 1: Arrival at Mysore, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Mysore (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration.",Mysore City Palace; Mysore Heritage Walk; Local markets; Traditional performance; Museum visit,https://karnatakatourism.org/wp-content/uploads/2020/06/Mysuru-Palace-banner-1920_1100.jpg,4
T0023,Vizag,Mysore,Cultural,All Season,9300,8600,11000,4.6,Luxury,Cultural,Standard Hotel,Car/Coach,Weekend Escape to Mysore - Family Special,"Experience the best of Mysore on this 5 Days / 4 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 5 days.","Day 1: Arrival at Mysore, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Mysore (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration. | Day 5: Wrap-up sightseeing and prepare for departure.",Mysore City Palace; Mysore Heritage Walk; Local markets; Traditional performance; Museum visit,https://thinkingnomads.com/wp-content/uploads/mysore_palace.jpg,5
T0024,Vizag,Mysore,Cultural,All Season,13200,11250,14500,4.8,Couple,Cultural,Standard Hotel,Car/Coach,Mysore Heritage & Culture Trail - Budget Friendly,"Experience the best of Mysore on this 6 Days / 5 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 6 days.","Day 1: Arrival at Mysore, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Mysore (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration. | Day 5: Wrap-up sightseeing and prepare for departure. | Day 6+: Additional relaxed exploration, optional excursions and departure formalities.",Mysore City Palace; Mysore Heritage Walk; Local markets; Traditional performance; Museum visit,https://xplro.com/wp-content/uploads/2024/01/Mysore-Palace-123-1.webp,6
T0025,Vizag,Mysore,Cultural,All Season,18300,16250,20000,4.8,Group,Cultural,Standard Hotel,Car/Coach,Mysore Explorer Package,"Experience the best of Mysore on this 7 Days / 6 Nights cultural getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 7 days.","Day 1: Arrival at Mysore, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Mysore (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration. | Day 5: Wrap-up sightseeing and prepare for departure. | Day 6+: Additional relaxed exploration, optional excursions and departure formalities.",Mysore City Palace; Mysore Heritage Walk; Local markets; Traditional performance; Museum visit,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT05OQ_wmg7MQgm5PKSEX3CZ_rZDQbehra5Ug&s,7
T0026,Bangalore,Kerala,Nature,Spring,6200,5850,14280,4.8,Budget,Nature,Homestay,Cab / Bus / Jeep,Royal Journey of Kerala,"Experience the best of Kerala on this 3 Days / 2 Nights nature getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 3 days.","Day 1: Arrival at Kerala, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Kerala (short trek/boat/temple visit).",Scenic spots around Kerala; Nature trails; Wildlife/Backwater cruise; Sunset viewpoints; Local flora & fauna,https://media.worldnomads.com/social-share-images/india/see-and-do-kerala-social.jpg,3
T0027,Bangalore,Kerala,Nature,Spring,9200,7850,14280,4.8,Family,Nature,Homestay,Cab / Bus / Jeep,Jewel of Kerala - Cultural Highlights - Deluxe,"Experience the best of Kerala on this 4 Days / 3 Nights nature getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 4 days.","Day 1: Arrival at Kerala, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Kerala (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration.",Scenic spots around Kerala; Nature trails; Wildlife/Backwater cruise; Sunset viewpoints; Local flora & fauna,https://media.worldnomads.com/social-share-images/india/see-and-do-kerala-social.jpg,4
T0028,Bangalore,Kerala,Nature,Spring,9900,8600,14280,4.8,Luxury,Nature,Homestay,Cab / Bus / Jeep,Weekend Escape to Kerala - Family Special,"Experience the best of Kerala on this 5 Days / 4 Nights nature getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 5 days.","Day 1: Arrival at Kerala, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Kerala (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration. | Day 5: Wrap-up sightseeing and prepare for departure.",Scenic spots around Kerala; Nature trails; Wildlife/Backwater cruise; Sunset viewpoints; Local flora & fauna,https://media.worldnomads.com/social-share-images/india/see-and-do-kerala-social.jpg,5
T0029,Bangalore,Kerala,Nature,Spring,12000,11050,14280,4.8,Couple,Nature,Homestay,Cab / Bus / Jeep,Kerala Heritage & Culture Trail - Budget Friendly,"Experience the best of Kerala on this 6 Days / 5 Nights nature getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 6 days.","Day 1: Arrival at Kerala, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Kerala (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration. | Day 5: Wrap-up sightseeing and prepare for departure. | Day 6+: Additional relaxed exploration, optional excursions and departure formalities.",Scenic spots around Kerala; Nature trails; Wildlife/Backwater cruise; Sunset viewpoints; Local flora & fauna,https://media.worldnomads.com/social-share-images/india/see-and-do-kerala-social.jpg,6
T0030,Bangalore,Kerala,Nature,Spring,14700,13800,14280,4.8,Group,Nature,Homestay,Cab / Bus / Jeep,Kerala Explorer Package,"Experience the best of Kerala on this 7 Days / 6 Nights nature getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 7 days.","Day 1: Arrival at Kerala, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Kerala (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration. | Day 5: Wrap-up sightseeing and prepare for departure. | Day 6+: Additional relaxed exploration, optional excursions and departure formalities.",Scenic spots around Kerala; Nature trails; Wildlife/Backwater cruise; Sunset viewpoints; Local flora & fauna,https://media.worldnomads.com/social-share-images/india/see-and-do-kerala-social.jpg,7
T0031,Chennai,Coorg,Nature,All Season,5700,5300,6500,4.7,Budget,Nature,Standard Hotel,Car/Coach,Royal Journey of Coorg,"Experience the best of Coorg on this 3 Days / 2 Nights nature getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 3 days.","Day 1: Arrival at Coorg, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Coorg (short trek/boat/temple visit).",Scenic spots around Coorg; Nature trails; Wildlife/Backwater cruise; Sunset viewpoints; Local flora & fauna,https://i0.wp.com/oneday.travel/wp-content/uploads/up-tours-1-day-coorg-with-talacauvery-local-sightseeing-tour-package-private-car-header.jpg?fit=1400%2C700&ssl=1,3
T0032,Chennai,Coorg,Nature,All Season,6800,6300,8000,4,Family,Nature,Standard Hotel,Car/Coach,Jewel of Coorg - Cultural Highlights - Deluxe,"Experience the best of Coorg on this 4 Days / 3 Nights nature getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 4 days.","Day 1: Arrival at Coorg, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Coorg (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration.",Scenic spots around Coorg; Nature trails; Wildlife/Backwater cruise; Sunset viewpoints; Local flora & fauna,https://www.fabhotels.com/blog/wp-content/uploads/2019/04/Places-to-Visit-in-Coorg_600x400.jpg:cf-webp:w-450:h-240,4
T0033,Chennai,Coorg,Nature,All Season,11500,9950,14500,4.6,Luxury,Nature,Standard Hotel,Car/Coach,Weekend Escape to Coorg - Family Special,"Experience the best of Coorg on this 5 Days / 4 Nights nature getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 5 days.","Day 1: Arrival at Coorg, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Coorg (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration. | Day 5: Wrap-up sightseeing and prepare for departure.",Scenic spots around Coorg; Nature trails; Wildlife/Backwater cruise; Sunset viewpoints; Local flora & fauna,https://s3.india.com/wp-content/uploads/2024/07/Explore-The-Mysteries-And-Marvels-Of-This-Scenic-And-Enchanting-Coorg.jpg,5
T0034,Chennai,Coorg,Nature,All Season,12700,12000,14000,4.6,Couple,Nature,Standard Hotel,Car/Coach,Coorg Heritage & Culture Trail - Budget Friendly,"Experience the best of Coorg on this 6 Days / 5 Nights nature getaway. The package includes curated sightseeing, comfortable stays and local experiences tailored to the destination. Perfect for travellers seeking a balanced mix of activities and leisure across the 6 days.","Day 1: Arrival at Coorg, check-in and local orientation. | Day 2: Main sightseeing covering iconic attractions and cultural spots. | Day 3: Excursion or activity day tailored to Coorg (short trek/boat/temple visit). | Day 4: Leisure day with optional local experiences and markets exploration. | Day 5: Wrap-up sightseeing and prepare for departure. | Day 6+: Additional relaxed exploration, optional excursions and departure formalities.",Scenic spots around Coorg; Nature trails; Wildlife/Backwater cruise; Sunset viewpoints; Local flora & fauna,https://www.theindia.co.in/blog/wp-content/uploads/2025/06/Tourist-Places-to-Visit-in-Coorg-1.jpg,6
